Country	Year	Life Ladder	Log GDP per capita	Social support	Healthy life expectancy at birth	Freedom to make life choices	Generosity	Perceptions of corruption	Positive affect	CODE	Happiness score	Whisker-high	Whisker-low	Dystopia (1.88) + residual	Explained by: GDP per capita	Explained by: Social support	Explained by: Healthy life expectancy	Explained by: Freedom to make life choices	Explained by: Generosity	Explained by: Perceptions of corruption
Afghanistan	2018	2.694303274	7.494587898	0.5075158477	52.59999847	0.3735355437	-0.08488787711	0.9276056886	0.4241253138	AFG	3.203	3.278	3.129	1.793	0.350	0.517	0.361	0.000	0.158	0.025
Albania	2018	5.004402637	9.412399292	0.6835916638	68.69999695	0.8242123127	0.005384950899	0.8991293907	0.7132995725	ALB	4.719	4.829	4.608	1.461	0.947	0.848	0.874	0.383	0.178	0.027
Algeria	2018	5.043086052	9.557951927	0.7986513376	65.90000153	0.5833805799	-0.1724130064	0.7587041259	0.5910429358	DZA	5.211	5.304	5.119	1.992	1.002	1.160	0.785	0.086	0.073	0.114
Argentina	2018	5.792796612	9.809971809	0.8999115825	68.80000305	0.8458946943	-0.2069366276	0.8552552462	0.8203096986	ARG	6.086	6.192	5.981	2.096	1.092	1.432	0.881	0.471	0.066	0.050
Armenia	2018	5.062448502	9.119423866	0.8144490123	66.90000153	0.807643652	-0.149108693	0.6768263578	0.5814877152	ARM	4.559	4.652	4.467	1.398	0.850	1.055	0.815	0.283	0.095	0.064
Australia	2018	7.17699337	10.7210207	0.9401372671	73.59999847	0.916028142	0.1377954036	0.4046474993	0.7590188384	AUS	7.228	7.315	7.141	2.094	1.372	1.548	1.036	0.557	0.332	0.290
Austria	2018	7.396001816	10.74189281	0.9116681218	73	0.9041119814	0.05155233294	0.5230605602	0.75235039	AUT	7.246	7.313	7.179	2.378	1.376	1.475	1.016	0.532	0.244	0.226
Azerbaijan	2018	5.167995453	9.678013802	0.7812299132	65.5	0.772449255	-0.2517952919	0.5612062812	0.5925753713	AZE	5.208	5.279	5.136	1.680	1.043	1.147	0.769	0.351	0.035	0.182
Bahrain										BHR	6.199	6.324	6.075	1.698	1.362	1.368	0.871	0.536	0.255	0.110
Bangladesh	2018	4.499217033	8.22074604	0.705556035	64.30000305	0.90147084	-0.03800833598	0.7014212012	0.5413447022	BGD	4.456	4.538	4.373	1.406	0.562	0.928	0.723	0.527	0.166	0.143
Belarus	2018	5.233769894	9.778738976	0.9045692682	66.09999847	0.6436023712	-0.1818648428	0.7184554935	0.4503328502	BLR	5.323	5.392	5.253	1.531	1.067	1.465	0.789	0.235	0.094	0.142
Belgium	2018	6.89217186	10.6724453	0.9298155308	72	0.8083866239	-0.1272783428	0.6304118037	0.7495627403	BEL	6.923	6.988	6.858	2.235	1.356	1.504	0.986	0.473	0.160	0.210
Benin	2018	5.81982708	7.663907051	0.5035440326	54.29999924	0.7132640481	0.02466116473	0.7465107441	0.6466551423	BEN	4.883	5.022	4.745	3.049	0.393	0.437	0.397	0.349	0.175	0.082
Bhutan										BTN	5.082	5.196	4.969	1.350	0.813	1.321	0.604	0.457	0.370	0.167
Bolivia	2018	5.915734291	8.860530853	0.8271594644	63.59999847	0.8632468581	-0.08756835014	0.7860445976	0.7419726253	BOL	5.779	5.876	5.683	2.376	0.776	1.209	0.706	0.511	0.137	0.064
Bosnia and Herzegovina	2018	5.887401104	9.402726173	0.8358895779	67.80000305	0.6588464379	0.1246269047	0.9128577709	0.642939508	BIH	5.386	5.477	5.296	1.905	0.945	1.212	0.845	0.212	0.263	0.006
Botswana	2018	3.4613657	9.680226326	0.7949360013	58.90000153	0.8176211119	-0.2590840161	0.8069454432	0.7296432257	BWA	3.488	3.611	3.365	0.183	1.041	1.145	0.538	0.455	0.025	0.100
Brazil	2018	6.190921783	9.557932854	0.8815052509	66.40000153	0.7506090403	-0.1263265163	0.7632513046	0.7497278452	BRA	6.300	6.403	6.197	2.480	1.004	1.439	0.802	0.390	0.099	0.086
Bulgaria	2018	5.098813534	9.873218536	0.9238532782	66.80000305	0.7243359089	-0.1791096032	0.9520144463	0.6390218735	BGR	5.011	5.098	4.924	1.195	1.092	1.513	0.815	0.311	0.081	0.004
Burkina Faso	2018	4.92723608	7.47052002	0.6648594737	53.90000153	0.7207434773	-0.004381240811	0.7573986053	0.7108835578	BFA	4.587	4.695	4.479	2.275	0.331	1.056	0.380	0.255	0.177	0.113
Burundi	2018	3.775283098	6.541032791	0.4847152233	53.40000153	0.6463986039	-0.01933417283	0.5986076593	0.6664415002	BDI	3.775	3.985	3.565	2.325	0.046	0.447	0.380	0.220	0.176	0.180
Cambodia	2018	5.121837616	8.253352165	0.7946053743	61.59999847	0.9583048224	0.03378676623		0.8445925117	KHM	4.700	4.810	4.589	1.465	0.574	1.122	0.637	0.609	0.232	0.062
Cameroon	2018	5.250737667	8.133470535	0.6768252254	52.70000076	0.8163049817	0.03250691667	0.8844416142	0.6424365044	CMR	5.044	5.170	4.918	2.649	0.549	0.910	0.331	0.381	0.187	0.037
Canada	2018	7.175496578	10.70124817	0.9227187634	73.59999847	0.9457828999	0.0979661271	0.3717408478	0.8236686587	CAN	7.278	7.357	7.200	2.193	1.365	1.505	1.039	0.584	0.285	0.308
Central African Republic										CAF	3.083	3.227	2.939	2.456	0.026	0.000	0.105	0.225	0.235	0.035
Chad	2018	4.486325264	7.472574711	0.5772535801	48.20000076	0.6503545642	0.01134008635	0.762879312	0.5527372956	TCD	4.350	4.484	4.215	2.591	0.350	0.766	0.192	0.174	0.198	0.078
Chile	2018	6.436220646	10.06591988	0.8900849223	69.90000153	0.7885303497	-0.07061584294	0.8162974119	0.8325622082	CHL	6.444	6.534	6.354	2.397	1.159	1.369	0.920	0.357	0.187	0.056
China	2018	5.131433964	9.694375992	0.7876053452	69.30000305	0.8953776956	-0.1748991609		0.8557838798	CHN	5.191	5.240	5.141	1.466	1.029	1.125	0.893	0.521	0.058	0.100
Colombia	2018	5.983512402	9.511734009	0.870970428	67.69999695	0.8507657647	-0.1550479978	0.8548209071	0.8254551888	COL	6.125	6.229	6.020	2.286	0.985	1.410	0.841	0.470	0.099	0.034
Comoros	2018	3.972819567	7.260142326	0.6213029623	57.20000076	0.560182333	0.1362475157	0.7937583327	0.74774158	COM	3.973	4.196	3.749	1.941	0.274	0.757	0.505	0.142	0.275	0.078
Congo (Brazzaville)	2018	5.490214348	8.473278999	0.6206229329	57.90000153	0.6987000704	-0.1245009825	0.7380201817	0.5875065923	COD	4.812	4.955	4.668	2.262	0.673	0.799	0.508	0.372	0.105	0.093
Congo (Kinshasa)										COG	4.418	4.543	4.293	2.308	0.094	1.125	0.357	0.269	0.212	0.053
Costa Rica	2018	7.141074657	9.669425964	0.8758724332	71.30000305	0.9418883324	-0.104196012	0.7813017964	0.870097816	CRI	7.167	7.254	7.081	2.933	1.034	1.441	0.963	0.558	0.144	0.093
Croatia	2018	5.536271095	10.06575108	0.9098068476	70.19999695	0.6908556223	-0.1525292397	0.9254083037	0.5820441246	HRV	5.432	5.510	5.354	1.660	1.155	1.266	0.914	0.296	0.119	0.022
Cyprus	2018	6.276443005		0.8255732059	73.69999695	0.7942150235		0.8483372331	0.7501224875	CYP	6.046	6.149	5.942	1.880	1.263	1.223	1.042	0.406	0.190	0.041
Czech Republic	2018	7.034165382	10.41947365	0.9291639328	70.30000305	0.7901324034	-0.2943596244	0.8513822556	0.7137001157	CZE	6.852	6.921	6.783	2.636	1.269	1.487	0.920	0.457	0.046	0.036
Denmark	2018	7.648785591	10.75559425	0.9582188725	72.40000153	0.9354377985	0.01559285261	0.1506074369	0.8214226365	DNK	7.600	7.667	7.534	2.393	1.383	1.573	0.996	0.592	0.252	0.410
Dominican Republic	2018	5.433215618	9.626997948	0.8619863391	65.80000305	0.8666415811	-0.1509512961	0.76227355	0.7448718548	DOM	5.425	5.559	5.291	1.519	1.015	1.401	0.779	0.497	0.113	0.101
Ecuador	2018	6.128010273	9.27445507	0.8513450027	68.5	0.8693637252	-0.1040210873	0.8307431936	0.8764749169	ECU	6.028	6.130	5.925	2.225	0.912	1.312	0.868	0.498	0.126	0.087
Egypt	2018	4.005450726	9.293959618	0.7588240504	61.70000076	0.6816544533	-0.2229295373		0.4922607541	EGY	4.166	4.252	4.079	1.187	0.913	1.039	0.644	0.241	0.076	0.067
El Salvador	2018	6.276246071	8.911958694	0.8239991665	66.09999847	0.8632072806	-0.09678690881	0.8266000152	0.8715364933	SLV	6.253	6.362	6.144	2.831	0.794	1.242	0.789	0.430	0.093	0.074
Estonia	2018	6.091302395	10.32410717	0.9326937795	68.59999847	0.8856183887	-0.1446649134	0.620677948	0.7947302461	EST	5.893	5.965	5.822	1.496	1.237	1.528	0.874	0.495	0.103	0.161
Ethiopia	2018	4.379262447	7.524516582	0.7401545048	58.5	0.7403430939	0.04327350482	0.7994662523	0.6595208645	ETH	4.286	4.365	4.206	1.731	0.336	1.033	0.532	0.344	0.209	0.100
Finland	2018	7.85810709	10.63605976	0.9621550441	71.90000153	0.9378073812	-0.1317351609	0.1986048371	0.7815464139	FIN	7.769	7.830	7.708	2.714	1.340	1.587	0.986	0.596	0.153	0.393
France	2018	6.665903568	10.57335186	0.9214630723	73.80000305	0.8163772225	-0.1415671259	0.5817753077	0.7673134208	FRA	6.592	6.667	6.518	2.021	1.324	1.472	1.045	0.436	0.111	0.183
Gabon	2018	4.783009052	9.718316078	0.78482759	59.70000076	0.7191354036	-0.217487514	0.8228634596	0.640691638	GAB	4.799	4.912	4.687	1.596	1.057	1.183	0.571	0.295	0.043	0.055
Gambia	2018	4.922099113	7.376553535	0.6847999692	55	0.7187287807		0.6910695434	0.8040121794	GMB	4.516	4.668	4.365	2.023	0.308	0.939	0.428	0.382	0.269	0.167
Georgia	2018	4.659097195	9.229100227	0.617218554	64.5	0.7751441002	-0.2192475945	0.754853785	0.5729534626	GEO	4.519	4.603	4.435	1.662	0.886	0.666	0.752	0.346	0.043	0.164
Germany	2018	7.118364334	10.73094463	0.9197631478	72.19999695	0.8768875003	0.03019964881	0.4956739545	0.7802804112	DEU	6.985	7.045	6.925	2.150	1.373	1.454	0.987	0.495	0.261	0.265
Ghana										GHA	4.996	5.137	4.856	2.367	0.611	0.868	0.486	0.381	0.245	0.040
Greece	2018	5.40928936	10.13205814	0.7935007811	72.40000153	0.564455688	-0.3363845348	0.8603023887	0.6656990647	GRC	5.287	5.382	5.191	1.848	1.181	1.156	0.999	0.067	0.000	0.034
Guatemala	2018	6.626591682	8.923428535	0.8411072493	64.80000305	0.9095380306	-0.01116703358	0.7654544115	0.8713620305	GTM	6.436	6.549	6.323	2.833	0.800	1.269	0.746	0.535	0.175	0.078
Guinea	2018	5.25222683	7.633718014	0.6304331422	54.40000153	0.7311572433	0.1000112817	0.778393805	0.7438810468	GIN	4.534	4.667	4.402	2.325	0.380	0.829	0.375	0.332	0.207	0.086
Haiti	2018	3.614928007	7.416091919	0.5379759073	55.70000076	0.5914683938	0.4209863842	0.7204447389	0.5841132998	HTI	3.597	3.751	3.443	1.581	0.323	0.688	0.449	0.026	0.419	0.110
Honduras	2018	5.908423901	8.439203262	0.8270670176	67.19999695	0.8721616864	0.1057286933	0.8035647869	0.8718446493	HND	5.860	5.987	5.734	2.323	0.642	1.236	0.828	0.507	0.246	0.078
Hong Kong S.A.R. of China										HKG	5.430	5.523	5.337	0.609	1.438	1.277	1.122	0.440	0.258	0.287
Hungary										HUN	5.758	5.853	5.663	2.020	1.201	1.410	0.828	0.199	0.081	0.020
Iceland										ISL	7.494	7.613	7.374	2.401	1.380	1.624	1.026	0.591	0.354	0.118
India	2018	3.818068743	8.830280304	0.6380519867	60.09999847	0.8904433846	0.07180630416	0.8052633405	0.6572871804	IND	4.015	4.062	3.968	1.126	0.755	0.765	0.588	0.498	0.200	0.085
Indonesia	2018	5.340295792	9.362827301	0.8093788624	62.09999847	0.8793743849	0.4993778169	0.8677294254	0.863717854	IDN	5.192	5.300	5.085	1.382	0.931	1.203	0.660	0.491	0.498	0.028
Iran	2018	4.278117657	9.886064529	0.6737647057	66	0.6033198833	0.04471550137	0.7034397721	0.553196609	IRN	4.548	4.659	4.437	1.121	1.100	0.842	0.785	0.305	0.270	0.125
Iraq										IRQ	4.437	4.610	4.264	1.362	1.043	0.980	0.574	0.241	0.148	0.089
Ireland	2018	6.962335587	11.16332817	0.9378623962	72.30000305	0.8614715934	0.1397834271	0.3622102439	0.8108572364	IRL	7.021	7.102	6.941	1.845	1.499	1.553	0.999	0.516	0.298	0.310
Israel	2018	6.92717886	10.4245739	0.9095954299	73.30000305	0.7246623039	0.05254996195	0.7701348066	0.6634896398	ISR	7.139	7.206	7.071	2.665	1.276	1.455	1.029	0.371	0.261	0.082
Italy	2018	6.516526699	10.48051643	0.9126561284	73.59999847	0.6500092745	-0.02346226946	0.8878248334	0.649023056	ITA	6.223	6.306	6.141	1.984	1.294	1.488	1.039	0.231	0.158	0.030
Ivory Coast	2018	5.26837492	8.236133575	0.6208825707	49.5	0.7125900388	-0.03695965931	0.7909668684	0.6820983887	CIV	4.944	5.072	4.815	2.739	0.569	0.808	0.232	0.352	0.154	0.090
Jamaica										JAM	5.890	6.126	5.653	2.125	0.831	1.478	0.831	0.490	0.107	0.028
Japan	2018	5.793575287	10.58161831	0.8864319324	75	0.7734721303	-0.2729722857	0.6867845058	0.7033550143	JPN	5.886	5.970	5.802	1.399	1.327	1.419	1.088	0.445	0.069	0.140
Jordan	2018	4.638933659	9.024435043	0.7995443344	66.80000305	0.7624202967	-0.1834896952			JOR	4.906	5.019	4.792	1.406	0.837	1.225	0.815	0.383	0.110	0.130
Kazakhstan	2018	6.00763607	10.111166	0.9366567135	64.59999847	0.84018296	-0.1085953116	0.8237829804	0.6931987405	KAZ	5.809	5.890	5.727	1.746	1.173	1.508	0.729	0.410	0.146	0.096
Kenya	2018	4.655702591	8.03267765	0.7067198753	60.09999847	0.8214129806	0.3066530824	0.8442440629	0.759102881	KEN	4.509	4.626	4.391	1.576	0.512	0.983	0.581	0.431	0.372	0.053
Kosovo	2018	6.391825676		0.8224065304	65.14982605	0.88973701		0.9220781922	0.7782713175	KSV	6.100	6.199	6.001	2.469	0.882	1.232	0.758	0.489	0.262	0.006
Kuwait										KWT	6.021	6.148	5.893	1.661	1.500	1.319	0.808	0.493	0.142	0.097
Kyrgyzstan	2018	5.297383308	8.151305199	0.8981478214	64.09999847	0.94494766	0.2877319753	0.9074053168	0.7632705569	KGZ	5.261	5.348	5.173	1.719	0.551	1.438	0.723	0.508	0.300	0.023
Laos	2018	4.85940218	8.813603401	0.7047381401	58.70000076	0.906660974	0.1405994594	0.6342398524	0.8522135615	LAO	4.796	4.881	4.711	1.473	0.764	1.030	0.551	0.547	0.266	0.164
Latvia	2018	5.901154041	10.18411732	0.9132763147	66.80000305	0.608207643	-0.2169995308	0.7989492416	0.5852332711	LVA	5.940	6.011	5.869	2.073	1.187	1.465	0.812	0.264	0.075	0.064
